message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2.214746, y=11.109228])";"30";"turtlesim3.sim";"1759845984.537634646";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.214746, y=11.109228])";"30";"turtlesim2.sim";"1759845984.522707336";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.239451, y=11.109228])";"30";"turtlesim3.sim";"1759845984.521624876";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.239451, y=11.109228])";"30";"turtlesim2.sim";"1759845984.506375309";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.264156, y=11.109228])";"30";"turtlesim3.sim";"1759845984.505408526";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.264156, y=11.109228])";"30";"turtlesim2.sim";"1759845984.490672290";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.288860, y=11.109228])";"30";"turtlesim3.sim";"1759845984.489761691";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.288860, y=11.109228])";"30";"turtlesim2.sim";"1759845984.474754978";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.313565, y=11.109228])";"30";"turtlesim3.sim";"1759845984.473813060";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.313565, y=11.109228])";"30";"turtlesim2.sim";"1759845984.459187103";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.338270, y=11.104740])";"30";"turtlesim3.sim";"1759845984.457148929";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=2.338270, y=11.104740])";"30";"turtlesim2.sim";"1759845984.443070276";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.667190])";"30";"turtlesim1.sim";"1759845844.753855110";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.692064])";"30";"turtlesim1.sim";"1759845844.737597050";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.716939])";"30";"turtlesim1.sim";"1759845844.721351304";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.741813])";"30";"turtlesim1.sim";"1759845844.705245710";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.766688])";"30";"turtlesim1.sim";"1759845844.689575361";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.791562])";"30";"turtlesim1.sim";"1759845844.673163459";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.816437])";"30";"turtlesim1.sim";"1759845844.657621242";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.841311])";"30";"turtlesim1.sim";"1759845844.642271508";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.866186])";"30";"turtlesim1.sim";"1759845844.625957344";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.891060])";"30";"turtlesim1.sim";"1759845844.609344700";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.915935])";"30";"turtlesim1.sim";"1759845844.593700650";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.940809])";"30";"turtlesim1.sim";"1759845844.577334593";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.965684])";"30";"turtlesim1.sim";"1759845844.561320206";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=0.990558])";"30";"turtlesim1.sim";"1759845844.545811908";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.015433])";"30";"turtlesim1.sim";"1759845844.530068860";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.040307])";"30";"turtlesim1.sim";"1759845844.513948931";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.065182])";"30";"turtlesim1.sim";"1759845844.498020711";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.090056])";"30";"turtlesim1.sim";"1759845844.481291849";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.114931])";"30";"turtlesim1.sim";"1759845844.465359846";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.139805])";"30";"turtlesim1.sim";"1759845844.449728566";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.164680])";"30";"turtlesim1.sim";"1759845844.434096471";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.189554])";"30";"turtlesim1.sim";"1759845844.417247370";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.214429])";"30";"turtlesim1.sim";"1759845844.402203014";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.239303])";"30";"turtlesim1.sim";"1759845844.385697010";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.264178])";"30";"turtlesim1.sim";"1759845844.370231837";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.289052])";"30";"turtlesim1.sim";"1759845844.353864224";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.313927])";"30";"turtlesim1.sim";"1759845844.337856457";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.338801])";"30";"turtlesim1.sim";"1759845844.321186346";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.363676])";"30";"turtlesim1.sim";"1759845844.305609302";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=-0.020131, y=1.388550])";"30";"turtlesim1.sim";"1759845844.289932599";"/home/artem/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:288"
